effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),813.456,15.327,53.072,102.34,0
fixed,NA,X_i,37.515,24.572,1.527,51.039,0.133
ran_pars,subj_id,sd__(Intercept),94.239,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.051,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.963,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),83.127,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.962,NA,NA,NA,NA
fixed,NA,(Intercept),778.822,15.49,50.279,118.39,0
fixed,NA,X_i,15.802,22.93,0.689,50.674,0.494
ran_pars,subj_id,sd__(Intercept),105.969,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.019,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.953,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.26,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.333,NA,NA,NA,NA
fixed,NA,(Intercept),800.531,13.864,57.74,127.98,0
fixed,NA,X_i,10.568,18.836,0.561,48.229,0.577
ran_pars,subj_id,sd__(Intercept),101.943,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.916,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,12.629,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),63.409,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.574,NA,NA,NA,NA
fixed,NA,(Intercept),747.82,14.682,50.935,106.364,0
fixed,NA,X_i,65.849,22.953,2.869,49.921,0.006
ran_pars,subj_id,sd__(Intercept),93.076,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.127,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,33.35,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.743,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.625,NA,NA,NA,NA
fixed,NA,(Intercept),797.72,15.833,50.383,112.488,0
fixed,NA,X_i,26.269,24.26,1.083,51.141,0.284
ran_pars,subj_id,sd__(Intercept),104.126,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.112,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,44.174,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.92,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.56,NA,NA,NA,NA
fixed,NA,(Intercept),802.311,16.895,47.488,105.125,0
fixed,NA,X_i,45.989,26.72,1.721,50.406,0.091
ran_pars,subj_id,sd__(Intercept),105.594,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.251,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.63,NA,NA,NA,NA
