effect,term,estimate,std.error,df,statistic,p.value,iteration,seed,warnings,errors
fixed,a.(Intercept),2.007926369499722,0.07719095135315959,2718,26.012457863269137,2.1345293671190567e-133,1,1,,
fixed,a.SexM,-0.03088768923570141,0.05312270411793359,296,-0.5814404546713219,0.5613861413147447,1,1,,
fixed,a.hemisphereleft,-0.0019434259963124268,0.0056466314853423506,2718,-0.34417439872908556,0.730741759005424,1,1,,
fixed,a.regioncentral,-0.6114049079762343,0.011293262970684385,2718,-54.13890649348639,0,1,1,,
fixed,a.regionfrontal,0.14621858861871592,0.011293262970684339,2718,12.947417322901098,2.9990463858433034e-37,1,1,,
fixed,a.regionoccipital,0.22567246613140507,0.011293262970684533,2718,19.98292846958527,5.3274038362552774e-83,1,1,,
fixed,a.regionparietal,-0.03784045701178499,0.011293262970684342,2718,-3.3507106945099285,8.170581206055649e-4,1,1,,
fixed,a.Spell_grouplow,-0.29470250088238087,0.16356370989440425,296,-1.8017597000742955,0.07260064239762933,1,1,,
fixed,a.hemisphereleft:regioncentral,-0.011948747477156144,0.011293262970684509,2718,-1.0580420829810806,0.29013027912151956,1,1,,
fixed,a.hemisphereleft:regionfrontal,0.007465009757964274,0.01129326297068454,2718,0.6610144275699783,0.5086590847281536,1,1,,
fixed,a.hemisphereleft:regionoccipital,0.022200754797310557,0.011293262970684547,2718,1.9658405949582565,0.04941867777791608,1,1,,
fixed,a.hemisphereleft:regionparietal,-0.0742859180659664,0.011293262970684429,2718,-6.5778967742804895,5.702329877483419e-11,1,1,,
fixed,b.(Intercept),-0.13162749359784845,0.03497183232951775,296,-3.763814613932857,2.0177458477800501e-4,1,1,,
fixed,b.Spell_grouplow,0.06882876502271915,0.06600819185920978,296,1.042730653333535,0.2979239291425154,1,1,,
fixed,xs.(Intercept),10.098968856831076,2.3158384447101468,296,4.360826153438815,1.7906287517948558e-5,1,1,,
fixed,xs.Spell_grouplow,2.302458187115228,10.892700519564753,296,0.21137624990053694,0.8327391451655175,1,1,,
random,intercepts,0.415307,NA,NA,NA,NA,1,1,,
random,residuals,0.3099996,NA,NA,NA,NA,1,1,,
fixed,a.(Intercept),1.8390590500692676,0.0873953745749858,2718,21.04297920814268,3.3896158679167037e-91,2,2,,
fixed,a.SexM,-0.02995152298569809,0.05666186851848341,296,-0.5286010463267328,0.5974783484532094,2,2,,
fixed,a.hemisphereleft,0.0012563090971103672,0.0058299017892051936,2718,0.21549404132957842,0.8293983259600166,2,2,,
fixed,a.regioncentral,-0.6056134518636105,0.011659803578410212,2718,-51.94027907854212,0,2,2,,
fixed,a.regionfrontal,0.14377451572655242,0.011659803578410389,2718,12.330783684278288,4.937546170389512e-34,2,2,,
