Item,a (discrim.),b1,b2,λ (loading),h² (communality)
Item 1,1.77,-2.842,-1.65,0.721,0.52
Item 2,2.243,-1.671,-1.008,0.797,0.635
Item 3,2.692,-1.195,-0.585,0.845,0.714
Item 4,1.261,-3.214,-0.861,0.595,0.354
Item 5,1.819,-0.928,0.419,0.73,0.533
Item 6,1.681,-1.762,-0.464,0.703,0.494
Item 7,1.685,-1.226,0.391,0.704,0.495
Item 8,1.145,-1.681,0.596,0.558,0.312
Item 9,1.115,-4.895,-1.88,0.548,0.3
Item 10,2.097,-1.726,-0.438,0.776,0.603
Item 11,2.49,-1.517,-0.284,0.826,0.682
Item 12,1.56,-1.054,-0.82,0.676,0.456
Item 14,1.05,-0.885,0.8,0.525,0.276
Item 16,2.722,0.15,0.807,0.848,0.719
Item 17,1.803,-1.499,-0.481,0.727,0.529
Item 18,1.564,-0.911,-0.631,0.677,0.458
Item 20,1.617,-0.502,0.734,0.689,0.474
Item 21,1.638,-0.351,0.827,0.693,0.481
Item 22,1.676,-0.518,0.669,0.702,0.492
