Term,numDF,denDF,F.value,p.value
a.(Intercept),1,2718,757.891,<0.001***
a.Sex,1,296,0.037,0.848
a.hemisphere,1,2718,0.885,0.347
a.region,4,2718,782.14,<0.001***
a.Spell_group,1,296,0.032,0.857
a.hemisphere:region,4,2718,11.622,<0.001***
b.(Intercept),1,296,13.666,<0.001***
b.Spell_group,1,296,0.025,0.874
xs.(Intercept),1,296,13.703,<0.001***
xs.Spell_group,1,296,0.11,0.74
a.(Intercept)1,1,2718,43.815,<0.001***
a.Sex1,1,296,0.07,0.791
a.hemisphere1,1,2718,11.882,<0.001***
a.region1,4,2718,862.618,<0.001***
a.Spell_group1,1,296,0.053,0.818
a.hemisphere:region1,4,2718,8.062,<0.001***
b.(Intercept)1,1,296,2.33,0.128
b.Spell_group1,1,296,0.139,0.71
xs.(Intercept)1,1,296,0.209,0.648
xs.Spell_group1,1,296,0.042,0.838
a.(Intercept)2,1,2718,50.897,<0.001***
a.Sex2,1,296,0.23,0.632
a.hemisphere2,1,2718,62.779,<0.001***
a.region2,4,2718,2005.709,<0.001***
a.Spell_group2,1,296,0.162,0.688
a.hemisphere:region2,4,2718,18.779,<0.001***
b.(Intercept)2,1,296,1.383,0.241
b.Spell_group2,1,296,0.026,0.872
xs.(Intercept)2,1,296,0.287,0.592
xs.Spell_group2,1,296,0.154,0.695
