Term,Value,Std.Error,DF,t.value,p.value,adj.p
a.(Intercept),1.93,0.07,2718,27.53,<.001***,<.001***
a.Spell_grouplow,-0.03,0.16,296,-0.18,0.857,0.874
b.(Intercept),-0.1,0.03,296,-3.7,<.001***,<.001***
b.Spell_grouplow,-0.01,0.06,296,-0.16,0.874,0.874
xs.(Intercept),13.05,3.53,296,3.7,<.001***,<.001***
xs.Spell_grouplow,2.92,8.79,296,0.33,0.74,0.874
a.(Intercept),0.73,0.11,2718,6.62,<.001***,<.001***
a.Spell_grouplow,-0.06,0.27,296,-0.23,0.818,0.838
b.(Intercept),-0.06,0.04,296,-1.53,0.128,0.384
b.Spell_grouplow,-0.03,0.09,296,-0.37,0.71,0.838
xs.(Intercept),32.97,72.16,296,0.46,0.648,0.838
xs.Spell_grouplow,-15.34,74.87,296,-0.2,0.838,0.838
a.(Intercept),1.25,0.17,2718,7.13,<.001***,<.001***
a.Spell_grouplow,-0.23,0.58,296,-0.4,0.688,0.834
b.(Intercept),-0.07,0.06,296,-1.18,0.241,0.722
b.Spell_grouplow,-0.06,0.37,296,-0.16,0.872,0.872
xs.(Intercept),24.08,44.92,296,0.54,0.592,0.834
xs.Spell_grouplow,-18.21,46.35,296,-0.39,0.695,0.834
