item_num,Sub1_item,Sub1_a1,Sub1_a2,Sub1_a3,Sub1_a4,Sub1_a5,Sub1_d,Sub2_item,Sub2_a1,Sub2_a2,Sub2_a3,Sub2_a4,Sub2_a5,Sub2_d,Sub3_item,Sub3_a1,Sub3_a2,Sub3_a3,Sub3_a4,Sub3_a5,Sub3_d,Sub4_item,Sub4_a1,Sub4_a2,Sub4_a3,Sub4_a4,Sub4_a5,Sub4_d
1,1,1.06,1.28,0,0,0,2.95,1,1.85,0,0.73,0,0,5.87,1,1.78,0,0,0.64,0,4.29,1,1.53,0,0,0,1.84,2.28
2,2,1.9,1.41,0,0,0,3.54,2,1.58,0,1.03,0,0,5.51,2,1.39,0,0,1.09,0,4.26,2,2.93,0,0,0,5.02,6.41
3,3,0.69,0.43,0,0,0,1.65,3,1.64,0,0.98,0,0,4.92,3,1.21,0,0,0.65,0,3.02,3,2.49,0,0,0,2.21,3.28
4,4,2.54,1.79,0,0,0,5.62,4,0.95,0,0.7,0,0,3.15,4,3.26,0,0,4.06,0,7.96,4,1.82,0,0,0,1.01,1.9
5,5,1.7,1.25,0,0,0,3.09,5,0.21,0,-0.09,0,0,0.17,5,1.84,0,0,0.93,0,2.56,5,2.14,0,0,0,1.47,2.67
6,6,1.93,1.12,0,0,0,3.02,6,1.06,0,0.54,0,0,1.81,6,1.45,0,0,0.78,0,1.54,6,0.73,0,0,0,0.32,0.22
7,7,2.01,1.22,0,0,0,1.25,7,0.53,0,1.27,0,0,1.41,7,1.21,0,0,0.51,0,1.95,7,0.86,0,0,0,0.85,-0.35
8,8,1.35,1.19,0,0,0,1.42,8,1.33,0,0.21,0,0,0.48,8,1.33,0,0,0.4,0,0.99,8,-0.03,0,0,0,0.29,-1.86
9,9,0.74,0.75,0,0,0,-0.27,9,0.7,0,-0.55,0,0,-0.51,9,1.43,0,0,0.16,0,0.97,NA,NA,NA,NA,NA,NA,NA
10,10,0.32,0.33,0,0,0,-1.15,10,0.6,0,-0.62,0,0,-0.54,10,1.76,0,0,0.44,0,1.42,NA,NA,NA,NA,NA,NA,NA
11,11,0.29,0.53,0,0,0,-1.4,11,0.6,0,0.46,0,0,-1.77,11,1.02,0,0,0.06,0,0.52,NA,NA,NA,NA,NA,NA,NA
12,12,0.31,0,0,0,0,-2.19,12,0.23,0,-0.39,0,0,-2.38,12,0.89,0,0,-0.07,0,-0.2,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,13,0.68,0,0.07,0,0,-1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,14,0.72,0,0.37,0,0,-2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
